county_x,staffed_all_beds,staffed_icu_beds,licensed_all_beds,all_bed_occupancy_rate,icu_bed_occupancy_rate,population,population_20,population_65,staffed_all_beds_[per_1000_people],staffed_all_beds_[per_1000_adults_20+],staffed_all_beds_[per_1000_elderly_65+],staffed_icu_beds_[per_1000_people],staffed_icu_beds_[per_1000_adults_20+],staffed_icu_beds_[per_1000_elderly_65+],licensed_all_beds_per_1000_people,licensed_all_beds_[per_1000_adults_20+],licensed_all_beds_[per_1000_elderly_65+],state,cases,deaths
Alcorn,163.0,24.0,200.0,0.54,0.68,36925.0,27696.0,6813.0,4.414,5.885,23.925,0.65,0.867,3.523,5.416,7.221,29.355999999999998,Mississippi,7.0,0.0
Aleutians West,0.0,0.0,0.0,0.0,0.0,5723.0,4983.0,394.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
Alger,11.0,0.0,11.0,0.11,0.0,9097.0,7567.0,2335.0,1.209,1.454,4.711,0.0,0.0,0.0,1.209,1.454,4.711,,,
Allamakee,25.0,0.0,25.0,0.28,0.0,13832.0,10313.0,3143.0,1.807,2.424,7.954,0.0,0.0,0.0,1.807,2.424,7.954,Iowa,45.0,3.0
Allegan,68.0,0.0,68.0,0.23,0.0,117327.0,86256.0,19414.0,0.58,0.7879999999999999,3.503,0.0,0.0,0.0,0.58,0.7879999999999999,3.503,Michigan,50.0,0.0
Allegany,288.0,14.0,288.0,0.73,0.66,70975.0,56023.0,14400.0,4.058,5.141,20.0,0.19699999999999998,0.25,0.972,4.058,5.141,20.0,Maryland,58.0,3.0
Allegany,69.0,6.0,69.0,0.39,0.43,46430.0,34366.0,8815.0,1.486,2.008,7.827999999999999,0.129,0.175,0.6809999999999999,1.486,2.008,7.827999999999999,New York,30.0,0.0
Alleghany,25.0,0.0,41.0,0.14,0.0,11161.0,9042.0,3023.0,2.24,2.765,8.27,0.0,0.0,0.0,3.674,4.534,13.562999999999999,North Carolina,2.0,0.0
Alleghany,95.0,10.0,205.0,0.16,0.44,14910.0,11839.0,3682.0,6.372000000000001,8.024,25.801,0.6709999999999999,0.845,2.716,13.749,17.316,55.676,Virginia,5.0,0.0
Allegheny,5974.0,607.0,7859.0,0.63,0.68,1218452.0,958803.0,230377.0,4.9030000000000005,6.231,25.930999999999997,0.498,0.633,2.635,6.45,8.197000000000001,34.114000000000004,Pennsylvania,1088.0,74.0
Allen,1344.0,170.0,1387.0,0.66,0.73,375351.0,269581.0,54718.0,3.5810000000000004,4.986000000000001,24.561999999999998,0.45299999999999996,0.631,3.1069999999999998,3.695,5.145,25.348000000000003,Indiana,343.0,22.0
Allen,25.0,0.0,25.0,0.36,0.0,12444.0,9244.0,2577.0,2.009,2.7039999999999997,9.701,0.0,0.0,0.0,2.009,2.7039999999999997,9.701,,,
